model_id,dataset_name,dataset_short,algorithm_name,algorithm_short,model_index,patch_set,patch_size,ratio_variant,feature_set,feature_file_path,model_file_path,pipeline_steps,model_type,scaler_used,model_fit_split,valid_used_for_fit_or_selection,test_used_for_fit_or_selection,class_weight,hyperparameter_grid_name,search_strategy,cv_used,cv_folds,scoring,score_method,random_state,created_at,fit_status,fit_runtime_seconds,selected_params_json,best_cv_score,feature_count_actual,train_row_count_actual,train_positive_count_actual,train_negative_count_actual,error_message,notes
d1_linsvm_032,dataset1_varroa,d1,linear_svm,linsvm,32,centered96_balanced,96,balanced,hog16_only,data/features/dataset1_varroa/centered96_balanced__hog16_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_032__centered96_balanced__hog16_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:53:36,trained,69.581538438797,"{""model__C"": 0.01}",0.8283140263584515,900,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_033,dataset1_varroa,d1,linear_svm,linsvm,33,centered96_balanced,96,balanced,hsv_lbp_only,data/features/dataset1_varroa/centered96_balanced__hsv_lbp_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_033__centered96_balanced__hsv_lbp_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:54:45,trained,2.1021926403045654,"{""model__C"": 0.1}",0.9220496239843085,42,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_034,dataset1_varroa,d1,linear_svm,linsvm,34,centered96_balanced,96,balanced,hog8_pca_hsv_lbp,data/features/dataset1_varroa/centered96_balanced__hog8_pca_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_034__centered96_balanced__hog8_pca_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:54:47,trained,35.92076230049133,"{""model__C"": 0.01}",0.882624180305902,1084,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_035,dataset1_varroa,d1,linear_svm,linsvm,35,centered96_balanced,96,balanced,hog8_pca_hsv,data/features/dataset1_varroa/centered96_balanced__hog8_pca_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_035__centered96_balanced__hog8_pca_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:55:24,trained,31.10000205039978,"{""model__C"": 0.01}",0.8813507716653367,1074,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_036,dataset1_varroa,d1,linear_svm,linsvm,36,centered96_balanced,96,balanced,hog8_pca_only,data/features/dataset1_varroa/centered96_balanced__hog8_pca_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_036__centered96_balanced__hog8_pca_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:55:55,trained,192.0764865875244,"{""model__C"": 0.01}",0.7578257942879466,1042,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_037,dataset1_varroa,d1,linear_svm,linsvm,37,centered96_balanced,96,balanced,hog16_pca_hsv_lbp,data/features/dataset1_varroa/centered96_balanced__hog16_pca_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_037__centered96_balanced__hog16_pca_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:59:07,trained,6.697537422180176,"{""model__C"": 0.01}",0.9322934167336228,297,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_038,dataset1_varroa,d1,linear_svm,linsvm,38,centered96_balanced,96,balanced,hog16_pca_hsv,data/features/dataset1_varroa/centered96_balanced__hog16_pca_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_038__centered96_balanced__hog16_pca_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:59:14,trained,4.816683053970337,"{""model__C"": 0.01}",0.9301850134511169,287,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_039,dataset1_varroa,d1,linear_svm,linsvm,39,centered96_balanced,96,balanced,hog16_pca_only,data/features/dataset1_varroa/centered96_balanced__hog16_pca_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_039__centered96_balanced__hog16_pca_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:59:19,trained,4.288844585418701,"{""model__C"": 0.01}",0.838103763592774,255,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_040,dataset1_varroa,d1,linear_svm,linsvm,40,centered96_neg4x,96,neg4x,hog8_hsv_lbp,data/features/dataset1_varroa/centered96_neg4x__hog8_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_040__centered96_neg4x__hog8_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:59:23,trained,2197.967317342758,"{""model__C"": 0.01}",0.8061679050234037,4398,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_041,dataset1_varroa,d1,linear_svm,linsvm,41,centered96_neg4x,96,neg4x,hog8_hsv,data/features/dataset1_varroa/centered96_neg4x__hog8_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_041__centered96_neg4x__hog8_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 09:36:02,trained,2262.5293929576874,"{""model__C"": 0.01}",0.805899156168462,4388,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
