rank_iou_0_2,dataset_name,algorithm_name,patch_set,feature_set,model_file_name,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,detection_recall_iou_0_3,rank_iou_0_3
41,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.85,4,0.25,1.25,0.4406438631790744,0.3857142857142857,0.4336633663366336,0.2072434607645875,0.5514285714285714,0.2039603960396039,122
42,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.2,1.0,0.4389489953632149,0.3757142857142857,0.5867768595041323,0.4234930448222566,0.3828571428571428,0.5661157024793388,3
43,dataset2_honeybee,linear_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_linsvm_008__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.2,1.0,0.4380453752181501,0.5571428571428572,0.497029702970297,0.3193717277486911,0.6542857142857142,0.3623762376237623,65
44,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.9,4,0.3,1.25,0.4360753221010902,0.4057142857142857,0.4356435643564356,0.2279484638255698,0.5557142857142857,0.2277227722772277,103
45,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.2,1.25,0.4358578052550231,0.3771428571428571,0.5826446280991735,0.4080370942812983,0.39,0.5454545454545454,13
46,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.25,1.25,0.4356120826709062,0.3571428571428571,0.5661157024793388,0.4133545310015898,0.3671428571428571,0.5371900826446281,8
47,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.3,1.25,0.4356120826709062,0.3571428571428571,0.5661157024793388,0.4133545310015898,0.3671428571428571,0.5371900826446281,10
48,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.2,1.25,0.4353741496598639,0.3114285714285714,0.5289256198347108,0.4081632653061224,0.3228571428571428,0.4958677685950413,12
49,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.25,1.25,0.4325358851674641,0.4485714285714285,0.4475247524752475,0.2124401913875598,0.6128571428571429,0.2198019801980198,114
50,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.2,1.0,0.4319727891156463,0.3128571428571428,0.5247933884297521,0.4149659863945578,0.32,0.5041322314049587,6
51,dataset2_honeybee,linear_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_linsvm_024__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.4,4,0.25,1.0,0.4319526627218935,0.4142857142857143,0.4336633663366336,0.3136094674556213,0.5,0.3148514851485148,66
52,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.85,4,0.3,1.25,0.4313725490196078,0.4214285714285714,0.4356435643564356,0.2058823529411764,0.5857142857142857,0.2079207920792079,123
53,dataset2_honeybee,random_forest,centered48_balanced,hog8_pca_hsv_lbp,d2_rf_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.25,1.25,0.4312267657992565,0.4842857142857142,0.4594059405940594,0.1988847583643122,0.6628571428571428,0.2118811881188118,128
54,dataset2_honeybee,linear_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.8,4,0.25,1.0,0.4311475409836065,0.6457142857142857,0.5207920792079208,0.3131147540983607,0.7485714285714286,0.3782178217821782,67
55,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.25,1.0,0.4292527821939587,0.36,0.5578512396694215,0.4133545310015898,0.3671428571428571,0.5371900826446281,7
56,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.3,1.0,0.4292527821939587,0.36,0.5578512396694215,0.4133545310015898,0.3671428571428571,0.5371900826446281,9
57,dataset2_honeybee,linear_svm,centered48_balanced,hog16_hsv_lbp,d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,0.8,4,0.25,1.0,0.4277551020408163,0.6542857142857142,0.5188118811881188,0.3053061224489796,0.7614285714285715,0.3702970297029703,75
58,dataset2_honeybee,rbf_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_rbfsvm_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.9,4,0.3,1.0,0.4274924471299094,0.7657142857142857,0.5603960396039604,0.309667673716012,0.8771428571428571,0.4059405940594059,71
59,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.3,1.25,0.4259259259259259,0.4928571428571429,0.4554455445544554,0.2055555555555555,0.6628571428571428,0.2198019801980198,124
60,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.25,1.25,0.4255725190839695,0.4571428571428571,0.4415841584158416,0.2099236641221374,0.6185714285714285,0.2178217821782178,120
61,dataset2_honeybee,linear_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_linsvm_024__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.4,4,0.3,1.0,0.4247619047619047,0.46,0.4415841584158416,0.3066666666666667,0.5485714285714286,0.3188118811881188,74
