rank_iou_0_2,dataset_name,algorithm_name,patch_set,feature_set,model_file_name,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,detection_recall_iou_0_3,rank_iou_0_3
24,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.2,4,0.25,1.25,0.5043263288009888,0.594,0.6623376623376623,0.484548825710754,0.61,0.6363636363636364,14
25,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.2,4,0.3,1.25,0.5043263288009888,0.594,0.6623376623376623,0.484548825710754,0.61,0.6363636363636364,15
26,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.9,4,0.2,1.0,0.5030927835051546,0.124,0.4053156146179402,0.3752577319587629,0.186,0.3023255813953488,69
27,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.25,1.0,0.5024630541871921,0.31,0.5083056478405316,0.3809523809523809,0.384,0.3853820598006645,62
28,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.9,4,0.3,1.0,0.5016949152542373,0.282,0.4916943521594684,0.4101694915254237,0.336,0.4019933554817276,43
29,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.3,1.0,0.5,0.34,0.521594684385382,0.3789808917197452,0.416,0.3953488372093023,65
30,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.25,1.0,0.4924924924924925,0.388,0.5324675324675324,0.4894894894894894,0.39,0.5292207792207793,11
31,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.3,1.0,0.4924924924924925,0.388,0.5324675324675324,0.4894894894894894,0.39,0.5292207792207793,12
32,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.2,1.0,0.4912280701754385,0.33,0.5,0.4880382775119617,0.332,0.4967532467532468,13
33,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.2,1.25,0.4912280701754385,0.33,0.5,0.4784688995215311,0.338,0.487012987012987,18
34,dataset2_honeybee,rbf_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_rbfsvm_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.9,4,0.2,1.0,0.4906204906204906,0.444,0.5647840531561462,0.3463203463203463,0.544,0.3986710963455149,80
35,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.25,1.25,0.4894894894894894,0.39,0.5292207792207793,0.4804804804804804,0.396,0.5194805194805194,16
36,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.4,4,0.3,1.25,0.4894894894894894,0.39,0.5292207792207793,0.4804804804804804,0.396,0.5194805194805194,17
37,dataset2_honeybee,random_forest,centered48_balanced,hog8_pca_hsv_lbp,d2_rf_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.25,1.0,0.4868217054263565,0.374,0.521594684385382,0.3596899224806201,0.456,0.3853820598006645,74
38,dataset2_honeybee,random_forest,centered48_balanced,hog8_pca_hsv_lbp,d2_rf_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.3,1.0,0.4858420268256334,0.414,0.5415282392026578,0.3546944858420268,0.502,0.3953488372093023,75
39,dataset2_honeybee,random_forest,centered48_neg4x,hog16_pca_hsv_lbp,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.7,4,0.2,1.25,0.4839319470699432,0.2,0.4252491694352159,0.2117202268431001,0.344,0.1860465116279069,111
40,dataset2_honeybee,rbf_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_rbfsvm_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,1.2,4,0.25,1.0,0.4830633284241531,0.428,0.5448504983388704,0.3829160530191458,0.496,0.4318936877076412,61
41,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.9,4,0.2,1.25,0.4805914972273567,0.22,0.4318936877076412,0.2181146025878003,0.362,0.1960132890365448,109
42,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.2,1.25,0.4802744425385934,0.284,0.4651162790697674,0.202401372212693,0.446,0.1960132890365448,115
43,dataset2_honeybee,rbf_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_rbfsvm_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,1.2,4,0.3,1.0,0.4782608695652174,0.448,0.5481727574750831,0.3797101449275363,0.516,0.4352159468438538,64
44,dataset1_varroa,linear_svm,centered80_balanced,hog16_hsv_lbp,d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,2.2,4,0.2,1.25,0.4759206798866855,0.46,0.5454545454545454,0.4475920679886686,0.48,0.512987012987013,24
45,dataset1_varroa,linear_svm,centered80_balanced,hog16_hsv_lbp,d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,2.2,4,0.2,1.0,0.4730878186968838,0.462,0.5422077922077922,0.461756373937677,0.47,0.5292207792207793,19
46,dataset1_varroa,linear_svm,centered80_balanced,hog16_pca_hsv_lbp,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,1.8,4,0.2,1.0,0.4718826405867971,0.634,0.6266233766233766,0.4596577017114914,0.644,0.6103896103896104,20
47,dataset2_honeybee,random_forest,centered48_neg4x,hog16_pca_hsv_lbp,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.7,4,0.25,1.25,0.4703770197486535,0.25,0.4352159468438538,0.2046678635547576,0.398,0.1893687707641196,114
48,dataset1_varroa,linear_svm,centered80_balanced,hog16_pca_hsv_lbp,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,1.8,4,0.2,1.25,0.4694376528117359,0.636,0.6233766233766234,0.4498777506112469,0.652,0.5974025974025974,23
49,dataset2_honeybee,linear_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.8,4,0.2,1.0,0.466867469879518,0.416,0.5149501661129569,0.3313253012048193,0.506,0.3654485049833887,90
50,dataset2_honeybee,linear_svm,centered48_balanced,hog16_hsv_lbp,d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,0.9,4,0.2,1.0,0.4657980456026058,0.34,0.4750830564784053,0.3322475570032573,0.422,0.3388704318936877,88
51,dataset2_honeybee,random_forest,centered48_neg4x,hog16_pca_hsv_lbp,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.7,4,0.3,1.25,0.4642233856893543,0.278,0.4418604651162791,0.1989528795811518,0.43,0.1893687707641196,117
52,dataset2_honeybee,rbf_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_rbfsvm_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.9,4,0.25,1.0,0.4633821571238348,0.552,0.5780730897009967,0.3355525965379494,0.648,0.4186046511627907,84
53,dataset2_honeybee,random_forest,centered48_balanced,hog8_pca_hsv_lbp,d2_rf_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.2,1.25,0.46,0.322,0.4584717607973422,0.1966666666666666,0.48,0.1960132890365448,119
54,dataset2_honeybee,linear_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_linsvm_024__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.4,4,0.2,1.0,0.4587813620071685,0.258,0.4252491694352159,0.3405017921146954,0.324,0.3156146179401993,81
55,dataset1_varroa,linear_svm,centered80_balanced,hog16_hsv_lbp,d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,2.2,4,0.25,1.0,0.4586666666666666,0.54,0.5584415584415584,0.4506666666666666,0.546,0.5487012987012987,21
56,dataset1_varroa,linear_svm,centered80_balanced,hog16_hsv_lbp,d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,2.2,4,0.3,1.0,0.4586666666666666,0.54,0.5584415584415584,0.4506666666666666,0.546,0.5487012987012987,22
57,dataset1_varroa,linear_svm,centered80_balanced,hog16_hsv_lbp,d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,2.2,4,0.25,1.25,0.4586666666666666,0.54,0.5584415584415584,0.44,0.554,0.5357142857142857,25
